NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
3296,,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 pen,,3296.jpg,3296_T.jpg,left-nohead.jpg,right-nohead.jpg
3301,Neptune,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,,3301-Neptune.jpg,3301-Neptune_T.jpg,3301-Neptune-left.jpg,3301-Neptune-right.jpg
3301,Neptune,Y,2,N,N,,B long coam no isl,B long coam no isl,,3301b-Neptune.jpg,3301-Neptune_T.jpg,3301-Neptune-left.jpg,3301-Neptune-right.jpg
3310,,N,2,Y,Y,C 2 pen L for,C 1 or 2 pen,C 1 or 2 pen,,3310.jpg,3310_T.jpg,3310-left.jpg,3310-right.jpg
3312,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,,3312.jpg,3312_T.jpg,3312-left.jpg,right-nohead.jpg
3317,Frida,Y,1,Y,Y,,B long pen coam,B long pen coam,,3317-Frida.jpg,3317-Frida_T.jpg,3317-Frida-left.jpg,3317-Frida-right.jpg
3333,,Y,2,N,N,,B no isl,B 1 isl,back - scar small patch,3333.jpg,3333_T.jpg,3333-left.jpg,3333-right.jpg
3351,Dune,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,,3351-Dune.jpg,3351-Dune_T.jpg,3351-Dune-left.jpg,3351-Dune-right.jpg
3380,Lemur,Y,1,Y,Y,,B 1 isl,B 2 isl or B fused isl,,3380-Lemur.jpg,3380-Lemur_T.jpg,3380-Lemur-left.jpg,3380-Lemur-right.jpg
3390,,Y,2,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,,3390.jpg,3390_T.jpg,3390-left.jpg,3390-right.jpg
3390,,Y,3,Y,Y,B 1 sym isl,B 1 isl,B 1 isl,,3390.jpg,3390_T.jpg,3390-left.jpg,3390-right.jpg
3420,Platypus,Y,2,Y,Y,,B long coam w isl,B long coam w isl,back - scar large patch,3420-Platypus.jpg,3420-Platypus_T.jpg,3420-Platypus-left.jpg,3420-Platypus-right.jpg
3420,Platypus,Y,2,Y,Y,,B long pen coam,B long pen coam,back - scar thin patch,3420-Platypus.jpg,3420-Platypus_T.jpg,3420-Platypus-left.jpg,3420-Platypus-right.jpg
3440,Cypress,N,1,Y,Y,,C isl,C isl,,3440-Cypress.jpg,3440-Cypress_T.jpg,3440-Cypress-left.jpg,3440-Cypress-right.jpg
3442,Armada,N,2,Y,Y,,C no pen,C no pen,back - lines 4 small,3442-Armada.jpg,3442-Armada_T.jpg,3442-Armada-left.jpg,3442-Armada-right.jpg
3510,Twister,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,,3510-Twister_left.jpg,3510-Twister_T.jpg,3510-Twister-left.jpg,3510-Twister-right.jpg
3510,Twister,N,2,N,N,C 2 pen R for,C 1 pen,C 1 pen,,3510-Twister_right.jpg,3510-Twister_T.jpg,3510-Twister-left.jpg,3510-Twister-right.jpg
3520,Millipede,Y,4,N,N,B 1 sym isl,B long coam w isl,B long coam w isl,2021 mom,3520-Millipede.jpg,3520-Millipede_T.jpg,3520-Millipede-left.jpg,3520-Millipede-right.jpg
3520,Millipede,Y,4,N,N,,B long pen coam,B long pen coam,2021 mom,3520-Millipede.jpg,3520-Millipede_T.jpg,3520-Millipede-left.jpg,3520-Millipede-right.jpg
3530,Ruffian,Y,2,N,N,B 2 isl R for,B long coam w isl,B long coam w isl,scars everywhere,3530-Ruffian.jpg,3530-Ruffian_T.jpg,3530-Ruffian-left.jpg,3530-Ruffian-right.jpg
3546,Halo,N,4,N,Y,,C 1 pen,C 2 pen,,3546-Halo.jpg,3546-Halo_T.jpg,3546-Halo-left.jpg,3546-Halo-right.jpg
3550,,N,2,Y,Y,,C 2 pen,C 1 pen,,3550.jpg,3550_T.jpg,3550-left.jpg,3550-right.jpg
3560,Snow Cone,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,coam - scar,3560-Snow Cone.jpg,3560-Snow Cone_T.jpg,left-nohead.jpg,right-nohead.jpg
3560,Snow Cone,Y,2,N,N,,B long coam w isl,B long coam w isl,2022 mom,3560-Snow Cone2.jpg,3560-Snow Cone_T.jpg,left-nohead.jpg,right-nohead.jpg
3579,,N,2,Y,Y,,C 2 pen,C 3 pen,,3579.jpg,3579_T.jpg,3579-left.jpg,3579-right.jpg
3617,Salem,N,1,Y,Y,,C 0 or 1 pen,C 0 or 1 pen,,3617-Salem.jpg,3617-Salem_T.jpg,3617-Salem-left.jpg,3617-Salem-right.jpg
3623,Bongo,N,2,N,N,C all 4 sym,C 2 pen,C 2 pen,coam - scar,3623-Bongo.jpg,3623-Bongo_T.jpg,3623-Bongo-left.jpg,3623-Bongo-right.jpg
3623,Bongo,Y,2,N,N,,B long coam,B long coam,coam - scar,3623b-Bongo.jpg,3623-Bongo_T.jpg,3623-Bongo-left.jpg,3623-Bongo-right.jpg
3646,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,,3646.jpg,3646_T.jpg,3646-left.jpg,3646-right.jpg
3651,,N,2,Y,Y,,C 2 pen,C 2 pen,,3651.jpg,3651_T.jpg,3651-left.jpg,3651-right.jpg
3660,Sirius,N,3,Y,Y,C 1 sym,C 1 pen,C 1 pen,back - scar large patch,3660-Sirius.jpg,3660-Sirius_T.jpg,3660-Sirius-left.jpg,3660-Sirius-right.jpg
3680,Sea Dragon,Y,3,N,N,,B no isl,B no isl,callosity - scar,3680-SeaDragon.jpg,3680-SeaDragon_T.jpg,3680-Sea Dragon-left.jpg,3680-Sea Dragon-right.jpg
3701,Eros,Y,2,N,N,B 2 isl L for,B no isl,B no isl,,3701-Eros.jpg,3701-Eros_T.jpg,3701-Eros-left.jpg,3701-Eros-right.jpg
3701,Eros,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,,3701-Eros.jpg,3701-Eros_T.jpg,3701-Eros-left.jpg,3701-Eros-right.jpg
3720,,Y,2,N,N,,B long pen coam,B long pen coam,2021 mom,3720.jpg,3720_T.jpg,3720-left.jpg,3720-right.jpg
3730,Spoon,Y,2,N,N,,B long pen coam,B long pen coam,,3730-Spoon.jpg,3730-Spoon_T.jpg,3730-Spoon-left.jpg,3730-Spoon-right.jpg
3730,Spoon,N,2,N,N,,C 1 pen,C 1 pen,,3730-Spoon.jpg,3730-Spoon_T.jpg,3730-Spoon-left.jpg,3730-Spoon-right.jpg
